Round,Temperature,Genotype,Flask,Slope.1.to.15,R2.1.to.15,Slope.5.to.15,R2.5.to.15
July,30,RT362,4,7.269,0.89563,6.8938,0.7191
July,30,CCMP2464,1,9.1449,0.88758,12.14,0.92327
July,30,CCMP2464,2,8.7884,0.89,11.86,0.9491
July,30,CCMP2464,3,8.9854,0.86388,12.56,0.93865
July,30,CCMP2464,4,8.6275,0.92138,11.225,0.97237
July,30,CCMP2458,1,5.6937,0.87585,4.7068,0.64344
July,30,CCMP2458,2,4.6909,0.67018,2.9944,0.096594
July,30,CCMP2458,3,5.143,0.61506,3.4934,0.050186
July,30,CCMP2458,4,4.7399,0.64801,2.1992,-0.022182
July,30,FLCass,1,5.7744,0.9112,5.6212,0.76642
July,30,FLCass,2,7.0625,0.89063,8.5246,0.84849
July,30,FLCass,3,7.4548,0.89078,9.0789,0.85436
July,30,FLCass,4,8.0427,0.89491,10.262,0.9073
July,30,KB8,1,6.8935,0.96425,6.8271,0.90784
July,30,KB8,2,7.327,0.96731,7.8402,0.92473
July,30,KB8,3,6.8797,0.98761,6.9605,0.97197
July,30,KB8,4,7.5676,0.96427,8.8571,0.96585
July,32,RT362,1,4.8968,0.84828,4.4133,0.58441
July,32,RT362,2,6.2442,0.86405,6.2086,0.66991
July,32,RT362,3,6.1743,0.84342,6.0836,0.60589
July,32,RT362,4,6.9168,0.90243,6.7246,0.76007
July,32,CCMP2464,1,7.4931,0.88837,10.096,0.94344
July,32,CCMP2464,2,7.6681,0.88615,10.358,0.94314
July,32,CCMP2464,3,8.1519,0.87758,11.171,0.93727
July,32,CCMP2464,4,7.5924,0.8712,10.105,0.90067
July,32,CCMP2458,1,4.2582,0.87063,3.2901,0.66455
July,32,CCMP2458,2,4.834,0.81011,3.5176,0.43576
July,32,CCMP2458,3,4.8337,0.91863,4.3242,0.7865
July,32,CCMP2458,4,4.1675,0.69196,2.5771,0.14279
July,32,FLCass,1,5.7973,0.93693,6.4051,0.88764
July,32,FLCass,2,5.684,0.85256,7.1835,0.80912
July,32,FLCass,3,5.5121,0.91911,7.102,0.95855
July,32,FLCass,4,5.3315,0.93683,6.3665,0.9291
July,32,KB8,1,5.6789,0.94845,6.0235,0.87875
July,32,KB8,2,5.7241,0.93244,6.9633,0.92506
July,32,KB8,3,4.7285,0.97054,5.3985,0.96351
July,32,KB8,4,5.5949,0.97809,5.9023,0.95814
